"Bedrijfstakken/branches (SBI 2008) ";"Regio's";"Perioden";"Banen van werknemers in december (x 1 000)"
"I Horeca";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   488.7"
"I Horeca";"Nederland";"2024 december*";"   488.7"
"I Horeca";"Nederland; niet in te delen";"2024 december*";"     0.1"
"I Horeca";"Groningen (PV)";"2024 december*";"    12.2"
"I Horeca";"Fryslân (PV)";"2024 december*";"    15.8"
"I Horeca";"Drenthe (PV)";"2024 december*";"    12.3"
"I Horeca";"Overijssel (PV)";"2024 december*";"    32.3"
"I Horeca";"Flevoland (PV)";"2024 december*";"     8.4"
"I Horeca";"Gelderland (PV)";"2024 december*";"    53.3"
"I Horeca";"Utrecht (PV)";"2024 december*";"    39.9"
"I Horeca";"Noord-Holland (PV)";"2024 december*";"   110.9"
"I Horeca";"Zuid-Holland (PV)";"2024 december*";"    89.6"
"I Horeca";"Zeeland (PV)";"2024 december*";"    14.1"
"I Horeca";"Noord-Brabant (PV)";"2024 december*";"    66.4"
"I Horeca";"Limburg (PV)";"2024 december*";"    33.5"
"J Informatie en communicatie";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   330.9"
"J Informatie en communicatie";"Nederland";"2024 december*";"   329.3"
"J Informatie en communicatie";"Nederland; niet in te delen";"2024 december*";"     1.6"
"J Informatie en communicatie";"Groningen (PV)";"2024 december*";"     8.2"
"J Informatie en communicatie";"Fryslân (PV)";"2024 december*";"     4.0"
"J Informatie en communicatie";"Drenthe (PV)";"2024 december*";"     3.0"
"J Informatie en communicatie";"Overijssel (PV)";"2024 december*";"    15.5"
"J Informatie en communicatie";"Flevoland (PV)";"2024 december*";"     4.2"
"J Informatie en communicatie";"Gelderland (PV)";"2024 december*";"    22.2"
"J Informatie en communicatie";"Utrecht (PV)";"2024 december*";"    58.7"
"J Informatie en communicatie";"Noord-Holland (PV)";"2024 december*";"   107.5"
"J Informatie en communicatie";"Zuid-Holland (PV)";"2024 december*";"    59.9"
"J Informatie en communicatie";"Zeeland (PV)";"2024 december*";"     1.9"
"J Informatie en communicatie";"Noord-Brabant (PV)";"2024 december*";"    36.3"
"J Informatie en communicatie";"Limburg (PV)";"2024 december*";"     7.9"
"K Financiële dienstverlening";"Nederland, Buitenland, Niet in te delen";"2024 december*";"   243.7"
"K Financiële dienstverlening";"Nederland";"2024 december*";"   243.2"
"K Financiële dienstverlening";"Nederland; niet in te delen";"2024 december*";"     0.5"
"K Financiële dienstverlening";"Groningen (PV)";"2024 december*";"     3.9"
"K Financiële dienstverlening";"Fryslân (PV)";"2024 december*";"     6.1"
"K Financiële dienstverlening";"Drenthe (PV)";"2024 december*";"     4.0"
