"Bedrijfstakken/branches (SBI 2008) ";"Perioden";"Regio's";"Banen van werknemers in december (x 1 000)"
"O Openbaar bestuur en overheidsdiensten";"2024 december*";"Zwolle";"    12.2"
"O Openbaar bestuur en overheidsdiensten";"2024 december*";"Gorinchem (AM)";"       ."
"P Onderwijs";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   604.1"
"P Onderwijs";"2024 december*";"Zuid-Nederland (LD)";"   114.9"
"P Onderwijs";"2024 december*";"Groningen (PV)";"    26.8"
"P Onderwijs";"2024 december*";"Midden-Limburg (CR)";"     5.2"
"P Onderwijs";"2024 december*";"Zwolle";"    11.4"
"P Onderwijs";"2024 december*";"Gorinchem (AM)";"       ."
"Q Gezondheids- en welzijnszorg";"2024 december*";"Nederland, Buitenland, Niet in te delen";"  1563.1"
"Q Gezondheids- en welzijnszorg";"2024 december*";"Zuid-Nederland (LD)";"   324.2"
"Q Gezondheids- en welzijnszorg";"2024 december*";"Groningen (PV)";"    66.6"
"Q Gezondheids- en welzijnszorg";"2024 december*";"Midden-Limburg (CR)";"    21.4"
"Q Gezondheids- en welzijnszorg";"2024 december*";"Zwolle";"    22.8"
"Q Gezondheids- en welzijnszorg";"2024 december*";"Gorinchem (AM)";"     9.9"
"R Cultuur, sport en recreatie";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   161.6"
"R Cultuur, sport en recreatie";"2024 december*";"Zuid-Nederland (LD)";"    32.7"
"R Cultuur, sport en recreatie";"2024 december*";"Groningen (PV)";"     3.7"
"R Cultuur, sport en recreatie";"2024 december*";"Midden-Limburg (CR)";"     1.7"
"R Cultuur, sport en recreatie";"2024 december*";"Zwolle";"     1.4"
"R Cultuur, sport en recreatie";"2024 december*";"Gorinchem (AM)";"     0.8"
"S Overige dienstverlening";"2024 december*";"Nederland, Buitenland, Niet in te delen";"   132.3"
"S Overige dienstverlening";"2024 december*";"Zuid-Nederland (LD)";"    19.3"
"S Overige dienstverlening";"2024 december*";"Groningen (PV)";"     3.0"
"S Overige dienstverlening";"2024 december*";"Midden-Limburg (CR)";"     1.3"
"S Overige dienstverlening";"2024 december*";"Zwolle";"     1.0"
"S Overige dienstverlening";"2024 december*";"Gorinchem (AM)";"     0.8"
